tree_id	block_id	created_at	tree_dbh	stump_diam	curb_loc	status	health	spc_latin	spc_common	steward	guards	sidewalk	user_type	problems	root_stone	root_grate	root_other	trunk_wire	trnk_light	trnk_other	brch_light	brch_shoe	brch_other	address	postcode	zip_city	community board	borocode	borough	cncldist	st_assem	st_senate	nta	nta_name	boro_ct	state	latitude	longitude	x_sp	y_sp	council district	census tract	bin	bbl
161235	339804	2015-08-20T00:00:00.000	4	0	OnCurb	Alive	Fair	Gleditsia triacanthos var. inermis	honeylocust	None	None	Damage	TreesCount Staff	None	No	No	No	No	No	No	No	No	No	426 BEACH 40 STREET	11691	Far Rockaway	414	4	Queens	31	31	10	QN12	Hammels-Arverne-Edgemere	4097203	New York	40.59626688	-73.77234286	1047473.11	156594.6652	31	97203	4302129	4159550003
161242	339804	2015-08-20T00:00:00.000	3	0	OnCurb	Alive	Poor	Gleditsia triacanthos var. inermis	honeylocust	None	None	NoDamage	TreesCount Staff	None	No	No	No	No	No	No	No	No	No	438 BEACH 40 STREET	11691	Far Rockaway	414	4	Queens	31	31	10	QN12	Hammels-Arverne-Edgemere	4097203	New York	40.59683648	-73.77245394	1047441.721	156802.1034	31	97203	4302129	4159550003
186060	505600	2015-08-29T00:00:00.000	17	0	OnCurb	Alive	Good	Gleditsia triacanthos var. inermis	honeylocust	None	None	Damage	Volunteer	Stones,TrunkOther	Yes	No	No	No	No	Yes	No	No	No	4623 PARK AVENUE	10458	Bronx	206	2	Bronx	15	86	33	BX40	Fordham South	2038302	New York	40.85791814	-73.89340631	1013736.366	251858.2106	15	38302	2011206	2030310050
180891	342936	2015-08-27T00:00:00.000	8	0	OnCurb	Alive	Good	Ginkgo biloba	ginkgo	None	None	NoDamage	Volunteer	None	No	No	No	No	No	No	No	No	No	53-008 97 STREET	11368	Corona	404	4	Queens	21	35	13	QN25	Corona	4044302	New York	40.739991	-73.86526993	1021585.64	208904.0012	21	44302	4046992	4018960033
183381	331371	2015-08-28T00:00:00.000	11	0	OnCurb	Alive	Good	Gleditsia triacanthos var. inermis	honeylocust	None	None	Damage	Volunteer	BranchLights	No	No	No	No	No	No	Yes	No	No	144-044 225 STREET	11413	Springfield Gardens	413	4	Queens	31	31	10	QN03	Springfield Gardens South-Brookville	4068000	New York	40.66362636	-73.75365462	1052594.028	181149.4721	31	680	4287150	4134940094
166440	348523	2015-08-22T00:00:00.000	6	0	OnCurb	Alive	Good	Ginkgo biloba	ginkgo	None	None	Damage	Volunteer	None	No	No	No	No	No	No	No	No	No	64-001 FITCHETT STREET	11374	Rego Park	406	4	Queens	29	28	15	QN18	Rego Park	4069702	New York	40.72186915	-73.86525671	1021599.461	202301.6584	29	69702	4073882	4031330051
134320	337363	2015-08-10T00:00:00.000	11	0	OnCurb	Alive	Good	Gleditsia triacanthos var. inermis	honeylocust	None	None	NoDamage	TreesCount Staff	None	No	No	No	No	No	No	No	No	No	221-040 MURDOCK AVENUE	11429	Queens Village	413	4	Queens	27	33	14	QN34	Queens Village	4058200	New York	40.703218	-73.73473543	1057799.116	195589.1144	27	582	4242309	4112380047
168348	226376	2015-08-23T00:00:00.000	10	0	OnCurb	Alive	Good	Gleditsia triacanthos var. inermis	honeylocust	1or2	Unsure	NoDamage	Volunteer	Stones,BranchOther	Yes	No	No	No	No	No	No	No	Yes	738 WASHINGTON AVENUE	11238	Brooklyn	308	3	Brooklyn	35	57	20	BK64	Prospect Heights	3020500	New York	40.67591256	-73.96350468	994373.1084	185531.6907	35	205	3028881	3011600044
201658	348116	2015-09-04T00:00:00.000	32	0	OnCurb	Alive	Good	Quercus palustris	pin oak	None	None	NoDamage	Volunteer	Stones,TrunkOther	Yes	No	No	No	No	Yes	No	No	No	70-004 INGRAM STREET	11375	Forest Hills	406	4	Queens	29	28	15	QN17	Forest Hills	4072300	New York	40.715253	-73.85049293	1025695.941	199897.8361	29	723	4077277	4032260008
204165	415381	2015-09-05T00:00:00.000	4	0	OnCurb	Alive	Good	Acer campestre	hedge maple	1or2	None	NoDamage	NYC Parks Staff	BranchLights	No	No	No	No	No	No	Yes	No	No	168 WOLVERINE STREET	10306	Staten Island	503	5	Staten Island	50	62	24	SI25	Oakwood-Oakwood Beach	5013800	New York	40.56744833	-74.13410014	946992.6877	146041.7106	50	138	5060166	5044000045
186817	301700	2015-08-29T00:00:00.000	4	0	OnCurb	Alive	Good	Quercus palustris	pin oak	None	None	NoDamage	Volunteer	None	No	No	No	No	No	No	No	No	No	79-001 21 AVENUE	11370	East Elmhurst	401	4	Queens	22	36	13	QN72	Steinway	4031700	New York	40.77079674	-73.89080443	1014495.677	220117.672	22	317	4021012	4009480049
198164	311535	2015-09-02T00:00:00.000	29	0	OnCurb	Alive	Good	Quercus palustris	pin oak	None	None	Damage	TreesCount Staff	Stones	Yes	No	No	No	No	No	No	No	No	42-094 SAULL STREET	11355	Flushing	407	4	Queens	20	25	16	QN22	Flushing	4079702	New York	40.75195241	-73.82895529	1031640.429	213279.4806	20	79702	4115243	4051090117
196627	310473	2015-09-02T00:00:00.000	17	0	OnCurb	Alive	Fair	Quercus palustris	pin oak	None	None	NoDamage	TreesCount Staff	None	No	No	No	No	No	No	No	No	No	125-002 QUEENS BOULEVARD	11415	Kew Gardens	409	4	Queens	29	27	14	QN60	Kew Gardens	4021600	New York	40.71219318	-73.82549632	1032627.642	198795.8682	29	216	4080169	4033607501
208395	106403	2015-09-07T00:00:00.000	13	0	OffsetFromCurb	Alive	Good	Quercus palustris	pin oak	1or2	None	NoDamage	Volunteer	None	No	No	No	No	No	No	No	No	No	366 COLUMBUS AVENUE	10024	New York	107	1	Manhattan	6	67	29	MN12	Upper West Side	1016500	New York	40.78080395	-73.97613836	990858.3569	223745.6831	6	161	1030211	1011490031
